date,likes,CA,TX,NY,CA_new,TX_new,NY_new
10/28/20,8934263,922685,932245,505416,4050,7770,2029
10/29/20,9024932,926910,939355,507913,4225,7110,2497
10/30/20,9124800,931843,946023,510171,4933,6668,2258
10/31/20,9209007,935262,953451,512223,3419,7428,2052
11/1/20,9283202,938897,957789,514482,3635,4338,2259
11/2/20,9377208,944148,965780,516114,5251,7991,1632
11/3/20,9469624,949390,974292,518431,5242,8512,2317
11/4/20,9577702,954629,984919,520557,5239,10627,2126
11/5/20,9699051,960905,993894,523559,6276,8975,3002
11/6/20,9831874,967618,1003908,526767,6713,10014,3208
11/7/20,9957805,972821,1009837,530354,5203,5929,3587
11/8/20,10061218,978861,1016772,533784,6040,6935,3430
11/9/20,10191667,985623,1026570,536933,6762,9798,3149
11/10/20,10331417,994366,1038214,540897,8743,11644,3964
11/11/20,10474295,999516,1051071,545718,5150,12857,4821
11/12/20,10637946,1009216,1060798,550516,9700,9727,4798
11/13/20,10819442,1019080,1073382,555917,9864,12584,5401
11/14/20,10978475,1027044,1083132,561308,7964,9750,5391
11/15/20,11113661,1036008,1090500,564952,8964,7368,3644
11/16/20,11280224,1047390,1101781,568450,11382,11281,3498
11/17/20,11441855,1058123,1112676,573544,10733,10895,5094
11/18/20,11614135,1069544,1125898,578826,11421,13222,5282
11/19/20,11801643,1082705,1139676,584128,13161,13778,5302
11/20/20,12000502,1096427,1153363,589605,13722,13687,5477
11/21/20,12172435,1109869,1164267,595581,13442,10904,5976
11/22/20,12313229,1118673,1172761,600967,8804,8494,5386
11/23/20,12492852,1136498,1183834,606878,17825,11073,5911
11/24/20,12670710,1153032,1204366,611756,16534,20532,4878
11/25/20,12851300,1167176,1219283,618023,14144,14917,6267
11/26/20,12954294,1176159,1223893,624961,8983,4610,6938
11/27/20,13160133,1193089,1228514,633140,16930,4621,8179
11/28/20,13311541,1206296,1234740,639200,13207,6226,6060
11/29/20,13447663,1219511,1246883,645932,13215,12143,6732
11/30/20,13615321,1237238,1261943,652748,17727,15060,6816
12/1/20,13799549,1253905,1275295,660041,16667,13352,7293
12/2/20,14000721,1272079,1293839,669016,18174,18544,8975
12/3/20,14218459,1293937,1311751,678869,21858,17912,9853
12/4/20,14449827,1318188,1325855,690143,24251,14104,11274
12/5/20,14655535,1343193,1337030,700902,25005,11175,10759
12/6/20,14827456,1371985,1346249,710612,28792,9219,9710
12/7/20,15031979,1399239,1361070,718991,27254,14821,8379
12/8/20,15251693,1425501,1374960,728010,26262,13890,9019
12/9/20,15471409,1457273,1390227,738947,31772,15267,10937
12/10/20,15696634,1491132,1403359,749204,33859,13132,10257
12/11/20,15977147,1528237,1461605,759765,37105,58246,10561
12/12/20,16184679,1554920,1473080,770804,26683,11475,11039
12/13/20,16368898,1590726,1479805,780831,35806,6725,10027
12/14/20,16569783,1620916,1493407,789815,30190,13602,8984
12/15/20,16772936,1655166,1513068,799551,34250,19661,9736
12/16/20,17017763,1716108,1534822,808929,60942,21754,9378
12/17/20,17255472,1761430,1551333,819427,45322,16511,10498
12/18/20,17506662,1809673,1570679,832033,48243,19346,12606
12/19/20,17700567,1847031,1584055,841946,37358,13376,9913
12/20/20,17880478,1889914,1591885,851400,42883,7830,9454
12/21/20,18081996,1933169,1608768,860856,43255,16883,9456
12/22/20,18283633,1968541,1630886,871155,35372,22118,10299
12/23/20,18511396,2013298,1651560,882895,44757,20674,11740
12/24/20,18704907,2048014,1659551,896242,34716,7991,13347
12/25/20,18805838,2064763,1661619,909123,16749,2068,12881
12/26/20,19022699,2129749,1667352,920171,64986,5733,11048
12/27/20,19174788,2167303,1690021,928376,37554,22669,8205
12/28/20,19363798,2209024,1710489,938710,41721,20468,10334
12/29/20,19564828,2243191,1734268,950730,34167,23779,12020
12/30/20,19793777,2275565,1753686,963647,32374,19418,12917
12/31/20,20024801,2307860,1770527,979040,32295,16841,15393
1/1/21,20172049,2345811,1778306,996073,37951,7779,17033
1/2/21,20463659,2398005,1792363,1011922,52194,14057,15849
1/3/21,20665439,2433916,1808382,1024154,35911,16019,12232
1/4/21,20917269,2474639,1831486,1035396,40723,23104,11242
1/5/21,21152285,2511923,1862478,1048538,37284,30992,13142
1/6/21,21408251,2548830,1887800,1064554,36907,25322,16016
