date,cases,deaths
5/6/2021,3753796,62169
5/7/2021,3755950,62211
5/8/2021,3757249,62270
5/9/2021,3758303,62310
5/10/2021,3760386,62332
5/11/2021,3761977,62363
5/12/2021,3763580,62468
5/13/2021,3765346,62573
5/14/2021,3766941,62626
5/15/2021,3768252,62647
5/16/2021,3769052,62681
5/17/2021,3770344,62701
5/18/2021,3771421,62723
5/19/2021,3773011,62760
5/20/2021,3774570,62811
5/21/2021,3775904,62857
5/22/2021,3776679,62903
5/23/2021,3777406,62928
5/24/2021,3778839,62947
5/25/2021,3780128,62979
5/26/2021,3781388,63014
5/27/2021,3786674,63163
5/28/2021,3788120,63215
5/29/2021,3788894,63236
5/30/2021,3789496,63247
5/31/2021,3789883,63249
6/1/2021,3791188,63260
6/2/2021,3792111,63284
6/3/2021,3793194,63340
6/4/2021,3794373,62965
6/5/2021,3795202,63000
6/6/2021,3795959,63120
6/7/2021,3797141,63132
6/8/2021,3798225,63155
6/9/2021,3799174,63167
6/10/2021,3800222,63206
6/11/2021,3801205,63251
6/12/2021,3801812,63143
6/13/2021,3802390,63145
6/14/2021,3803495,63150
6/15/2021,3804529,63205
6/16/2021,3805390,63224
6/17/2021,3806400,63254
6/18/2021,3807542,63290
6/19/2021,3808088,63309
6/20/2021,3808733,63337
6/21/2021,3810024,63353
6/22/2021,3811099,63370
6/23/2021,3811979,63425
6/24/2021,3812993,63490
6/25/2021,3814393,63543
6/26/2021,3815178,63555
6/27/2021,3816045,63586
6/28/2021,3817655,63597
6/29/2021,3818311,63610
6/30/2021,3816704,63662
7/1/2021,3818156,63709
7/2/2021,3820182,63649
7/3/2021,3820882,63648
7/4/2021,3821453,63648
7/5/2021,3822073,63648
7/6/2021,3824416,63710
7/7/2021,3827935,63748
7/8/2021,3829878,63805
7/9/2021,3832085,63870
7/10/2021,3833655,63874
7/11/2021,3835509,63877
7/12/2021,3839640,63954
7/13/2021,3844675,63972
7/14/2021,3847548,64002
7/15/2021,3850825,64041
7/16/2021,3855424,64083
7/17/2021,3857764,64085
7/18/2021,3859898,64086
7/19/2021,3867829,64127
7/20/2021,3874038,64132
7/21/2021,3882678,64146
7/22/2021,3889338,64174
7/23/2021,3898271,64219
7/24/2021,3901742,64220
7/25/2021,3904632,64225
